date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-02-14,000408,25.37,25.63,25.63,25.23,72624,205326186.63,1.58,0.0102,0.26,0.0046
2023-02-15,000408,25.52,25.17,25.62,25.09,68588,192792514.43,2.07,-0.0179,-0.46,0.0043
2023-02-16,000408,25.1,24.57,25.35,24.42,80756,224374716.85,3.69,-0.023799999999999998,-0.6,0.0051
2023-02-17,000408,24.58,24.66,25.18,24.58,81980,227120632.02,2.44,0.0037,0.09,0.0052
2023-02-20,000408,24.58,24.66,24.74,23.61,113113,305582775.23,4.58,0.0,0.0,0.0072
2023-02-21,000408,24.66,24.78,25.13,24.57,89434,247321046.55,2.27,0.0049,0.12,0.005699999999999999
2023-02-22,000408,24.58,24.71,24.8,24.43,44968,123560886.64,1.49,-0.0028000000000000004,-0.07,0.0028000000000000004
2023-02-23,000408,24.72,25.18,25.4,24.72,119529,334144879.34,2.75,0.019,0.47,0.0076
2023-02-24,000408,25.23,25.09,25.33,24.84,50417,140402922.95,1.95,-0.0036,-0.09,0.0032
2023-02-27,000408,25.09,24.98,25.3,24.87,63190,176202213.18,1.71,-0.0044,-0.11,0.004
2023-02-28,000408,25.0,25.09,25.16,24.87,57789,160817475.56,1.16,0.0044,0.11,0.0037
2023-03-01,000408,25.04,24.85,25.07,24.58,60117,165921569.16,1.95,-0.0096,-0.24,0.0038
2023-03-02,000408,24.85,24.32,24.97,24.31,67001,183274061.43,2.66,-0.0213,-0.53,0.0042
2023-03-03,000408,24.32,24.47,24.56,24.17,46099,125483390.43,1.6,0.0062,0.15,0.0029
2023-03-06,000408,24.47,24.63,24.66,24.04,50372,137073338.38,2.53,0.006500000000000001,0.16,0.0032
2023-03-07,000408,24.58,24.77,24.86,24.48,65512,180311588.21,1.54,0.005699999999999999,0.14,0.0040999999999999995
2023-03-08,000408,24.79,25.17,25.33,24.64,105828,294862964.24,2.79,0.0161,0.4,0.0067
2023-03-09,000408,25.23,25.6,25.94,25.01,175640,499195689.5,3.69,0.0171,0.43,0.0111
2023-03-10,000408,25.5,24.84,25.5,24.74,119412,332209150.39,2.97,-0.0297,-0.76,0.0076
2023-03-13,000408,24.56,23.64,24.83,23.55,146226,391724915.56,5.15,-0.0483,-1.2,0.009300000000000001
2023-03-14,000408,23.48,23.49,24.13,23.38,114960,304956348.75,3.17,-0.0063,-0.15,0.0073
2023-03-15,000408,23.52,23.65,23.78,23.38,87494,231238577.85,1.7,0.0068000000000000005,0.16,0.0055000000000000005
2023-03-16,000408,23.18,22.88,23.36,22.77,74569,192833213.86,2.49,-0.0326,-0.77,0.004699999999999999
2023-03-17,000408,22.83,22.74,23.03,22.44,78296,200141749.16,2.58,-0.0060999999999999995,-0.14,0.005
2023-03-20,000408,22.74,23.13,23.16,22.13,90996,230759192.7,4.53,0.0172,0.39,0.0058
2023-03-21,000408,22.97,23.18,23.26,22.9,55029,142871299.57,1.56,0.0022,0.05,0.0034999999999999996
2023-03-22,000408,23.2,23.22,23.35,22.93,54818,142364183.48,1.81,0.0017000000000000001,0.04,0.0034999999999999996
2023-03-23,000408,23.18,22.68,23.18,22.57,80324,205460890.19,2.63,-0.0233,-0.54,0.0051
2023-03-24,000408,22.78,22.26,22.83,22.1,120964,304626542.44,3.22,-0.018500000000000003,-0.42,0.0077
2023-03-27,000408,22.23,21.96,22.23,21.67,102084,252164454.48,2.52,-0.013500000000000002,-0.3,0.006500000000000001
2023-03-28,000408,21.95,21.21,22.02,21.16,126439,306558104.56,3.92,-0.0342,-0.75,0.008
2023-03-29,000408,21.27,21.33,21.64,21.19,93928,227393200.17,2.12,0.005699999999999999,0.12,0.0059
2023-03-30,000408,21.38,21.46,21.47,21.17,57121,137993220.83,1.41,0.0060999999999999995,0.13,0.0036
2023-03-31,000408,21.36,21.34,21.57,21.31,50330,122045023.43,1.21,-0.005600000000000001,-0.12,0.0032
